factor,democrat,
dots,
exclmark,
questionmark,
commas,
spaces,
Is,
wes,
america,
war,
terrorism,
a,
b,
c,
d,
e,
ed,
will,
russia,
bomb,
great,
family,
happy,
child,
peace,
enemy,
soldier,
excuse,
letters,
punctuation,
flesh_read,
smog_read,
verb,
adjektiv,
pronoun,
